,Date Time,Sensor,PM10,PM2_5,NO2,NO,NOx,CO,SO2,O3,Temp,Do_Am,TocDo_Gio,Luong_Mua,Huong_Gio,Pressure,Buc_Xa
0,1/1/2019 0:00,MinhKhai,73.12,46.79,19.73,7.01,30.45,1336.1,3.34,0.32,11.6,65.6,0.4,0,112,1027.6,
1,1/1/2019 1:00,MinhKhai,89.45,58.03,19.27,6.31,28.92,1186.4,2.32,0.44,11.5,66.8,0.3,0,112,1027.5,
2,1/1/2019 2:00,MinhKhai,48.76,29.86,18.2,6.49,28.12,1086.2,1.98,0.36,11.5,68.1,0.3,0,120,1027.1,
3,1/1/2019 3:00,MinhKhai,39.31,24.35,17.08,6,26.26,802.8,0.48,0.28,11.4,66.3,0.4,0,94,1026.7,
4,1/1/2019 4:00,MinhKhai,47.27,28.79,17.08,5.08,24.83,812.5,0.39,0.4,11.2,66.2,0.4,0,100,1026.3,
5,1/1/2019 5:00,MinhKhai,48.09,28.8,16.71,4.99,24.31,834.2,1.22,0.54,11.1,64,0.3,0,89,1026.4,
6,1/1/2019 6:00,MinhKhai,26.45,15.43,16.54,4.53,23.45,630.5,1.06,0.32,11,64.4,0.2,0,96,1027,
7,1/1/2019 7:00,MinhKhai,44.67,26.25,16.81,4.28,23.34,662.7,0.43,0.34,10.9,65.2,0.3,0,102,1027.7,
8,1/1/2019 8:00,MinhKhai,58.12,35.36,16.48,4.51,23.38,715.1,0.98,0.62,11,64.6,0.3,0,102,1028.7,
9,1/1/2019 9:00,MinhKhai,79.32,49.85,17.02,4.58,24.01,707.6,1.78,0.56,11.2,64.8,0.2,0,93,1029.3,
10,1/1/2019 10:00,MinhKhai,49.12,29.43,17.32,5.04,25.02,1909.5,0.67,0.38,11.6,62.3,0.3,0,80,1029.5,
11,1/1/2019 11:00,MinhKhai,76.34,47.6,17.88,3.69,23.49,1596.2,0.56,0.88,12.1,60,0.1,0,48,1028.7,
12,1/1/2019 12:00,MinhKhai,73.09,44.01,18.07,3,22.65,1433.4,0.23,0.74,12.3,59.6,0.3,0,76,1027.4,
13,1/1/2019 13:00,MinhKhai,58.32,35.78,18.11,2.11,21.33,1055,0.03,0.94,12.2,59.7,0.6,0,92,1026.1,
14,1/1/2019 14:00,MinhKhai,47.23,26.89,17.57,2.9,22.02,1008.3,0.56,0.82,12.7,58.6,0.4,0,82,1025.1,
15,1/1/2019 15:00,MinhKhai,55.12,35.61,18.01,2.54,21.89,1014.5,0.34,0.98,13.2,58.8,0.2,0,78,1024.7,
16,1/1/2019 16:00,MinhKhai,57.98,36.58,18.64,2.78,22.88,933,0.87,0.74,13,59.5,0.5,0,96,1025.1,
